product_desc,price,image,link
Gold Kundan Drop Cascade Maang Tika,1100.00,https://img.faballey.com/Images/Product/ZMT00014/1.jpg,https://www.houseofindya.com/gold-kundan-drop-cascade-maang-tika-32/iprdt
Gold Kundan Cascade Earring Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00039/1.jpg,https://www.houseofindya.com/gold-kundan-cascade-earring-necklace-set-290/iprdt
White Crest Kundan Beaded Maang Tika,1400.00,https://img.faballey.com/Images/Product/ZMT00015/1.jpg,https://www.houseofindya.com/white-crest-kundan-beaded-maang-tika-32/iprdt
Gold Kundan Green Bead Maang Tika,800.00,https://img.faballey.com/Images/Product/ZMT00007/1.jpg,https://www.houseofindya.com/gold-kundan-green-bead-maang-tika-32/iprdt
Gold Kundan Pearl Square Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00041/1.jpg,https://www.houseofindya.com/gold-kundan-pearl-square-bracelet-27/iprdt
Silver Intricate Tribal Oxidised Dangler Earrings,325.00,https://img.faballey.com/Images/Product/ZEA00178/1.jpg,https://www.houseofindya.com/silver-intricate-tribal-oxidised-dangler-earrings-22/iprdt
Gold Green Diamond Bangle Set,1050.00,https://img.faballey.com/Images/Product/ZBR00007/1.jpg,https://www.houseofindya.com/gold-green-diamond-bangle-set-27/iprdt
Gold Kundan Green Drop Double Orb Earring Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00038/1.jpg,https://www.houseofindya.com/gold-kundan-green-drop-double-orb-earrinf-necklace-set-290/iprdt
White Diamond Aqua Drop Earring Necklace Set,2450.00,https://img.faballey.com/Images/Product/ZNS00013/1.jpg,https://www.houseofindya.com/white-diamond-aqua-drop-earring-necklace-set-290/iprdt
Gold Kundan Mangtika Earring Necklace Set,3500.00,https://img.faballey.com/Images/Product/ZNS00002/1.jpg,https://www.houseofindya.com/gold-kundan-mangtika-earring-necklace-set-290/iprdt
Gold Red Kundan Bead Earring Necklace Set,1600.00,https://img.faballey.com/Images/Product/ZNS00003/1.jpg,https://www.houseofindya.com/gold-red-kundan-bead-earring-necklace-set-290/iprdt
Gold Kundan Blue Bead Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00041/1.jpg,https://www.houseofindya.com/gold-kundan-blue-bead-earring-necklace-set-290/iprdt
Silver Arrow Motif Oxidised Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00176/1.jpg,https://www.houseofindya.com/silver-arrow-motif-oxidised-dangler-earrings-22/iprdt
Gold Kundan Vine Pearl Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00040/1.jpg,https://www.houseofindya.com/gold-kundan-vine-pearl-bracelet-27/iprdt
Gold Round Kundan Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00035/1.jpg,https://www.houseofindya.com/gold-round-kundan-pearl-earring-necklace-set-290/iprdt
Gold White Wave Diamond Bracelet,725.00,https://img.faballey.com/Images/Product/ZBR00003/1.jpg,https://www.houseofindya.com/gold-white-wave-diamond-bracelet-27/iprdt
Gold White Linear Diamond Bracelet,650.00,https://img.faballey.com/Images/Product/ZBR00010/1.jpg,https://www.houseofindya.com/gold-white-linear-diamond-bracelet-27/iprdt
Gold Textured Contemporary Choker Necklace Set,1100.00,https://img.faballey.com/Images/Product/ZNS00070/1.jpg,https://www.houseofindya.com/gold-textured-contemporary-choker-necklace-set-23/iprdt
Gold White Kite Diamond Bangle Set,1600.00,https://img.faballey.com/Images/Product/ZBR00033/1.jpg,https://www.houseofindya.com/gold-white-kite-diamond-bangle-set-27/iprdt
Gold Black Druzy Cuff Bracelet,750.00,https://img.faballey.com/Images/Product/ZBR00062/1.jpg,https://www.houseofindya.com/gold-black-druzy-cuff-bracelet-27/iprdt
Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475.00,https://img.faballey.com/Images/Product/ZNS00062/1.jpg,https://www.houseofindya.com/floral-shaped-kundan-pendant-set-with-aqua-color-stone.-23/iprdt
